,542696068237,d05162137940,7073cb088646,7073cb088663,0c771a022437,6c3e6d085731,206432038945,147dc5026866,40a6d9055545,206432038916,50ead6065693,002500007232,5c5948074037,b8c75d126841,18e7f4034519,58b035070589,5c5948074023,b8c75d126951,fcc734163480,0026bb009383,6c3e6d085739,9803d8111454,dc2b61144912,18002d029353,00c610013244,7c11be096586,7c11be097044,9027e4108753,041e64015206,0c74c2021129,2002af036879,4860bc060546,1040f3023247,6c3e6d085793,18e7f4034552,148fc6028162,6c3e6d085597,8c7b9d106408,980c82112898,145a05026365,e0f847148456,e4ce8f150396,705681088265,4860bc060176,4860bc060484,c8bcc8134183,90840d109373,f0b479155600,206432038931,b8c75d126693,1093e9023590,145a05025500,f81edf161016,b8c75d126883,044665016096,dc2b61144911,b8c75d126767,24ab81040359,60fb42079060,64b9e8081070,f0b479155462,5855ca070177,145a05025960,64b9e8081078,40a6d9055840,28cc01041822,50465d063918,581faa069280,b8c68e126417,40a6d9056065,842999100621,a826d9120696,50465d063925,044665015904,50ead6065715,74e2f5091079,74e2f5091043,cc08e0135180,040cce014507,b065bd123568,7c6d62097684,189efc033126,b8c75d126897,a0f450118979,0c74c2020552,e0cb1d148049,64b9e8081108,fc253f163210,2002af036941,0016d4001819,a8fad8122072,d0b33f138163,5cb524075681,0017ca002224,68a86d083595,206432039373,90840d109338,cc08e0135969,5c0a5b072221,8c7b9d106449,
542696068237,0.9816576439690632,0.98069654222461,0.980645600119897,0.9806957365283394,0.9804481879703326,0.9808446934071015,0.9807462409900032,0.9806471717774319,0.9807214454316668,0.9806956967396564,0.9805452678939627,0.9802510244966544,0.9806710305151943,0.9805971251612645,0.9807456242243648,0.9809659702167178,0.9806477387824175,0.9806480073695277,0.9805988259298836,0.9805963490459058,0.9805467995457152,0.9804962058225617,0.9804478798083521,0.9803471892567438,0.9808442059813307,0.9806194318840731,0.9802982167126462,0.9804484863385496,0.9807470865129275,0.9805956330368024,0.9805979108143931,0.9806204265554577,0.9807446891769985,0.9809442997148189,0.9807460818403342,0.980299738394472,0.9806202475773086,0.9807676526425843,0.9810167432611292,0.9805715137050337,0.9803982007763378,0.980496961779499,0.9806951894130681,0.9807948852657875,0.9805204721468196,0.9807450771310945,0.9804494412980134,0.9805966377385179,0.9805959315168203,0.9806468039740727,0.9807693337251636,0.9804464175814527,0.980768408903199,0.9804229149321919,0.9797542462524116,0.9807453855041556,0.980895963758163,0.9805197561912803,0.9805471278152553,0.980597055321955,0.9803995834299681,0.9805967966878154,0.9806961841100929,0.9806472613007572,0.9806965820102254,0.9808440667112376,0.9807949747382494,0.98034734841952,0.9805472372393115,0.9801989883898495,0.9810181257011902,0.9808936659503971,0.9808441363450197,0.9807449876044382,0.9807454851774039,0.9804480586531098,0.9807677819618671,0.9806193224584191,0.9805986269830271,0.9803967288114509,0.980348750749382,0.9804992792591741,0.9806473408649253,0.9804959969251109,0.9803499642938399,0.9806951993607866,0.9805966775876573,0.9805970652679024,0.9807942585746949,0.9808673882294413,0.9809418529133159,0.9809664475002464,0.9806452024724214,0.9808441363407566,0.9806456498583891,0.9806942745105095,0.9807204805257402,0.9802990719294334,0.980695517678708,0.9808209622351214,
d05162137940,0.980457367702463,0.9818534592728521,0.9805838591148343,0.9806366717037649,0.9803897464616287,0.9807885121892351,0.9806907803424337,0.980715634613662,0.9806712961356432,0.9806357369440606,0.9803565120047918,0.980196006674848,0.9806222226758555,0.980538493162077,0.9806883959405691,0.980785908583249,0.9808387332194215,0.9808405106633123,0.9807908994321201,0.9805352932955912,0.9804857727174949,0.9803105865415487,0.9803868699518028,0.980158654088363,0.9807841238170713,0.9804389073385807,0.980112890172648,0.9806350645098009,0.980695395339004,0.980531490406519,0.9806685833253992,0.9805648978762206,0.9806829822259755,0.980887942160909,0.9808118402970321,0.9802405622059769,0.9804465704891812,0.9805862454630143,0.9808387554834964,0.9805166888959918,0.980337406004181,0.9804348999076204,0.9807566336403643,0.9807357203451949,0.9803411996457297,0.980686486693308,0.9805168718638125,0.9805365362779029,0.9805335798266914,0.9805888462745297,0.980716916809929,0.9802582285644448,0.9805906114912701,0.9804914120027196,0.9796924991518714,0.9806883201088881,0.9810907511741072,0.9802159302419098,0.9806095809804443,0.9805388520519019,0.9804656345361098,0.980537332922695,0.9807595109386762,0.9807142230302233,0.9807609702487862,0.980785094498602,0.9808578710543859,0.9801610062378462,0.9804881928707906,0.9800129256823713,0.9809690245621672,0.9808333329497047,0.9807862326568855,0.9806843462776312,0.9806875875511694,0.9803886428196802,0.980586916003358,0.9804384075674927,0.9807915997078019,0.98020802446977,0.9802876949990675,0.9805679617991484,0.9807131719681332,0.9803077709192731,0.9805373516681499,0.9806336044622604,0.9804149906472572,0.9805380412882138,0.980732926785984,0.9808101305316917,0.9807559716263938,0.9807883986144567,0.9805816232975009,0.980784948263642,0.9805839673016857,0.9805065306199164,0.9809137870378638,0.9802374911827955,0.9806349969678992,0.9808962764071313,
7073cb088646,0.9805766181746208,0.9807523168602548,0.9817212616523093,0.9807502401018341,0.9805027058031309,0.9808992044191405,0.9808007228262474,0.9807043072621049,0.9806536327922578,0.9807502401021192,0.9804771826584273,0.9804553850095928,0.9806063833945808,0.9805286375605965,0.9808001285162778,0.9807774228408003,0.9807019486208295,0.9807023478675719,0.9806530628860658,0.9806508929647058,0.9806012910189653,0.9804281932958603,0.9803796305735311,0.9802791253553794,0.9808988447946271,0.9805524448988795,0.98023003847093,0.9805030349152991,0.9808012287424238,0.9805274794372438,0.9806535793055167,0.9805532372425132,0.9807991989829252,0.9809985759298007,0.9808018153515601,0.9803541285316814,0.9805531793873304,0.9807006808188832,0.9808268618178988,0.98050400712508,0.9804527289925928,0.9804288637477627,0.9807497524692572,0.9808493312289086,0.9804547295998558,0.9807997018500562,0.9805037328357341,0.9805297269072911,0.9805277141521308,0.9805798682903596,0.980702049195841,0.9803783322993114,0.9805786479266085,0.9803556584311879,0.9798087905581371,0.9807999029978028,0.9809502295898642,0.9803300926657385,0.9806016110283937,0.9806527899532789,0.9804551379509336,0.9806513623097377,0.9807505783519809,0.9807017413732553,0.980750928838089,0.98089866497528,0.9808494622366245,0.9802792320260412,0.980603127050123,0.980130962573824,0.9809509457923277,0.9809481541629617,0.9808987381209355,0.98079949765851,0.9806785205465872,0.9805039505835755,0.9807007813937347,0.9805523687016282,0.9806527398330622,0.9803286328237293,0.9804032946681821,0.9805536608730373,0.9807017017478432,0.980427836719519,0.9804056610787337,0.9807497524693299,0.9805297391427857,0.9806515665044552,0.9808488131220057,0.9808003265839504,0.9808738214658983,0.9809006992265835,0.9805769991305996,0.9808986375493038,0.9807001901416907,0.980626079931494,0.9806532274466431,0.9803535830039437,0.9807500237117778,0.9807532237472162,
7073cb088663,0.9803781943596813,0.980562719025017,0.9805047523045197,0.9819325287430587,0.9803086915817651,0.9808313323391287,0.9806118847475184,0.9805131153122014,0.980594387839772,0.980679709969971,0.9802777248673114,0.9801168642671156,0.980419437757755,0.9803379552727609,0.9806068455433482,0.9805848347197961,0.9806413542255779,0.9806436862242566,0.9805955803954155,0.980579561326401,0.9804066928633098,0.9802296545319276,0.9801883303448979,0.9800797009832642,0.9807047151263756,0.9804829642200821,0.9800338394181279,0.980313745324001,0.9806146151602664,0.9803334296399631,0.9805867118663774,0.9803655947863051,0.9806038671983827,0.980807504641232,0.9806117857128336,0.9801604447121546,0.9804872381928716,0.980506616934249,0.9806414211771269,0.9803199105962337,0.9802579628859427,0.9802358501953249,0.9805545213455295,0.980656166361653,0.9802601783233692,0.9806053060016895,0.9804423646202655,0.9803374919702973,0.9803324157752492,0.9803885659805781,0.9806387541271137,0.9801792573966362,0.9803866654533122,0.9801698595721303,0.9796133923415568,0.9807312962495357,0.9808909668652427,0.9801363807720442,0.9804080568149097,0.9804602833603693,0.9802655410998793,0.9804578002215611,0.980561137658232,0.9805157799516772,0.9805644976648265,0.9807043670086518,0.9806594889263259,0.9800803391627873,0.9804078951907825,0.9799322398039629,0.9807696655425987,0.9807559812656996,0.9807041920943239,0.980605299993765,0.9804858666940971,0.9803084348750172,0.9805070657698068,0.9803592541288446,0.9805925485804121,0.9801292249581435,0.9803319630298774,0.9803690128358374,0.9805139408687087,0.980228961470457,0.9802164817515927,0.9805544710160918,0.9803342812440969,0.9804607139816288,0.9806535481740017,0.9806113542367729,0.9806750986960372,0.9807089772328148,0.9803800658535496,0.9807048205465199,0.9805048249381634,0.9804296650798245,0.9804692768410198,0.9801586840975592,0.9805560746928522,0.9806973122365276,
0c771a022437,0.9801484529431773,0.9803259981117132,0.9802715462689982,0.9803230765537789,0.9819274156717752,0.9805946034217499,0.9804979687448838,0.9803987761998698,0.9802334610735571,0.9803229726989399,0.980047718499568,0.9800026724535769,0.98042614457075,0.9802263198090257,0.9804953516311427,0.9803518423346763,0.9802784086413565,0.9804014971368231,0.9803533572406156,0.980222830004284,0.9801735715286646,0.9801216454253423,0.979954316102904,0.9798496718276177,0.9804724807310107,0.9801262600274647,0.9798021105179268,0.9800766344194545,0.9805008457156839,0.9800999608461441,0.980349703816603,0.9801292948095333,0.9803706251065908,0.9805738530870024,0.9803760727672732,0.9799272414713399,0.9802509781249369,0.9802739613655065,0.9804063815394883,0.9800811909629756,0.9800249282244942,0.9800029545879139,0.9803212636406706,0.9804224370007272,0.9800276614332928,0.9804939158448243,0.9800798656748864,0.98010402634057,0.9801013378201492,0.980155922668265,0.9805224338188601,0.9799495883390424,0.980277790213527,0.9800549221874734,0.9793801863060353,0.9804946279458585,0.9806499462652785,0.980026253948936,0.9802960793067491,0.9802253824556608,0.9801506492266954,0.9802248861291831,0.980446197481777,0.9803991112987791,0.9804476864391956,0.9805925026595776,0.9804228141833804,0.979850193785145,0.9801756068842319,0.979823908458087,0.9806531174080046,0.9805208257386475,0.9805928976136714,0.9803717473550191,0.9803744617887012,0.9800758551774736,0.9802744017315146,0.9801264451741274,0.980351880194429,0.9798991884095475,0.9799752317077604,0.9802522440962251,0.9802777965872709,0.980120661005887,0.9799792245566368,0.9804432976139026,0.9801043590065742,0.9802257831199673,0.9804207628761223,0.9803749561959351,0.9805668797393815,0.9805956213814406,0.9801495996942596,0.9804711300180974,0.9802717559942978,0.980197616031207,0.9803541127076235,0.9799250820275732,0.980322697863194,0.9803354049969901,
6c3e6d085731,0.9805391550115372,0.9807198282023293,0.9806641938250807,0.9808405516819858,0.9805931266154515,0.9819190807368637,0.9808936350080906,0.9807949878712069,0.9807552368263891,0.980840598715087,0.9804371290409539,0.9803997467008265,0.9807035449742465,0.9806202065295468,0.9808914510415375,0.9807434336452772,0.9807971506880147,0.9809225051302478,0.9807500774584348,0.9806157179470117,0.9805660387870925,0.9805139567097311,0.9804689993230107,0.9802390988755557,0.9808674440961461,0.9805203965433806,0.9801913519125636,0.9804700425084338,0.9807733209115959,0.9804899319144195,0.9809955163096842,0.9805241256109951,0.9807645266373716,0.9810931613152815,0.9807690146256391,0.9803214664363108,0.9807734194429248,0.980670644824736,0.9809225594057671,0.9804770131958767,0.9804172953567338,0.9803926740546633,0.9807140497450066,0.9809400033604018,0.980421501389041,0.9808896162183031,0.9807223501880952,0.9804939074813291,0.9804925851671178,0.9806704553426492,0.9806741208101286,0.9803418158599045,0.9806736665337797,0.9803286731578043,0.9797728338621179,0.9810148467064606,0.9811718972204884,0.9805448039786263,0.9805677825121891,0.9807427794697741,0.9804228015427846,0.9807421568308051,0.9807179247998472,0.9807951727141956,0.9807192468146185,0.9809882227128418,0.9808160222663661,0.9802395106203695,0.9805708123464074,0.9802163598372694,0.9811751880072958,0.9809135615824018,0.9809884471578925,0.9808890592065097,0.9807679271205987,0.9804683479229176,0.9806679866120842,0.9805200873111781,0.9808748094017364,0.9802886273722311,0.980368119650488,0.9806488101892105,0.9806737695083054,0.9803886086425172,0.9804977149781503,0.980713981675163,0.9806209052511085,0.9807429067204668,0.9808131345933553,0.9807694227928417,0.9809592870376438,0.9809926941081647,0.9805398494201409,0.9808640311463711,0.9806643286574964,0.980587044654993,0.9806303950219694,0.9803178167317081,0.9807164710022429,0.9809812471384975,
206432038945,0.9803325508245281,0.9805171821996345,0.9804583331729673,0.9805125893015034,0.9803878463176987,0.9807862041316439,0.9820007676070672,0.9805909854088134,0.9805544937528216,0.9805127173664955,0.9802293874912074,0.9804413587720937,0.9806250116199261,0.9804166309446104,0.9806862414992816,0.9805406986610467,0.980592905376818,0.9807194493228865,0.9806711776067074,0.9804112888974995,0.9803607806069333,0.9803070873997117,0.9802637867958152,0.9800314046853437,0.9807840648545544,0.9803178362310916,0.9801083652615494,0.9802672063624994,0.9808192425680858,0.9802837296924372,0.9805430520889806,0.9803217030271936,0.9805574414580838,0.9807654653893546,0.9808124997570697,0.9801160530932858,0.9804460750934858,0.980463407762384,0.9809656488222243,0.9803986565499683,0.9802120882991895,0.9803107207966927,0.9805093948477465,0.9807339953692021,0.9802178816244599,0.9806838015642355,0.9803943460034363,0.9805353432708407,0.9804099256489129,0.9804663976592651,0.9804742779056747,0.9801315382520612,0.9805917017910885,0.9801277410555341,0.9795669732100044,0.980685095148155,0.9808451615546568,0.980338499601222,0.9803629242206255,0.9805380783050661,0.9802197186645134,0.9805369343003655,0.9805142164040594,0.9807146457831616,0.9806398085492408,0.98090537968261,0.980611628109762,0.9800326518899833,0.9804865491987743,0.9800084041152588,0.9810972661179667,0.9808320521199858,0.9807825051951126,0.9805600435869675,0.9805630945648279,0.9803866052167105,0.9804639262113113,0.9804394265745021,0.9804240594317197,0.9800808376565093,0.9801636906009759,0.9805690107519182,0.9804683413612441,0.9801815458577552,0.9801704102129788,0.9805082437018006,0.9805374961431546,0.980661075225566,0.9806083563710185,0.9805662120366677,0.9807515889021209,0.98091186638241,0.980333091608418,0.9807815539799967,0.9804587982105188,0.9805032821069157,0.9805510551030872,0.980235457345228,0.9805111042670152,0.9805349277614608,
147dc5026866,0.9800469923050446,0.9804773569631058,0.9801741366550669,0.9802275570221857,0.9801024514255845,0.9805007224235375,0.9804065904017284,0.9821878227346515,0.9802681285018464,0.9802285245195772,0.9799452113462405,0.9799096500545116,0.9805826085833594,0.9802523743106215,0.9804020915766435,0.9803775248089175,0.9803063359318346,0.9804330203352527,0.9802639059096971,0.9801267952902645,0.9800775666445898,0.9800217857169263,0.9799787996192353,0.9798713741966062,0.9803784417531359,0.9800324427551066,0.9797015209236476,0.9801045576932096,0.9802889782692219,0.980121678741526,0.9803799334026113,0.9801591973999912,0.9802731215672998,0.9804809651735817,0.9802835970773152,0.9798320578602928,0.980158373617131,0.9801774819154316,0.9805592200516943,0.9801111394946931,0.9799280770371751,0.980027764384155,0.9802244566339057,0.980326733690168,0.980055708752332,0.9803990512081144,0.9801087639346013,0.9802519494198372,0.9800008245420955,0.9803078321587876,0.9803097321962325,0.9798474839041288,0.9803051247296183,0.9799643546229334,0.9792826837112498,0.980399446256406,0.9806814903212148,0.9799292636604969,0.9802025349102581,0.9802545415775241,0.9801801061519759,0.9801313430175994,0.9803519776930824,0.9804295168226597,0.9803544859629044,0.9804967656437351,0.9804496557721158,0.9797484266575311,0.9802038321438848,0.9797231543502708,0.9806899179193289,0.9804247075778881,0.9804976158701652,0.9802758213015432,0.9805239874144032,0.980104025118847,0.9801785255743638,0.9800320865323577,0.9802607932769771,0.9797968500992023,0.9798791969937407,0.980284914533844,0.9803071604134866,0.9798973569934172,0.9800077238949034,0.9802239610296221,0.9801305085493763,0.980132851745049,0.9803240393284662,0.9804026835372298,0.9804662489013075,0.9805021904414059,0.9800496241225932,0.9803743281622515,0.9801743877052164,0.9800965180469526,0.980263559853533,0.9798277702490126,0.9802261312018556,0.9804938240491154,
40a6d9055545,0.9801911947221671,0.9803811374061255,0.9801951169295681,0.9803748183510287,0.9800037276435645,0.9805274086534744,0.9804325151764063,0.9803316922808292,0.9821033779769544,0.9804962158575328,0.9799643485087008,0.9799374476687532,0.9804927822704474,0.9802788182943192,0.9803035959040479,0.9805248558215135,0.980583349743622,0.9803418002221591,0.9804172412112895,0.9802711223431284,0.9803455270278836,0.979919978188861,0.9802471235127842,0.9797664331205312,0.9803992017296522,0.9803016626086684,0.9797211193799221,0.980127171327415,0.9804393868058914,0.9801427271075045,0.980411547664253,0.9803082825077059,0.9804174886575259,0.9807533776843231,0.9803101564932761,0.9798561708312274,0.9801885352041068,0.9803243831798532,0.9808320560665956,0.9803863857408868,0.9799490774418039,0.9801712556572176,0.9802455256869719,0.9805956835675824,0.9800806262934926,0.9804230328628304,0.9803823047842883,0.9802753654667171,0.9801499540910561,0.9803310797650089,0.9807053806942392,0.9798672542891685,0.9803374524011774,0.9801172190217677,0.9793037569666052,0.9803026430726942,0.9807151662970838,0.9800770101065428,0.9801034716351692,0.9802774002460927,0.980205687929715,0.9802756518963671,0.9803753783225093,0.9804550026943895,0.9803786167531866,0.9803971691404627,0.9804723703632836,0.9797671708435589,0.980104096017835,0.9796214555160789,0.9808422048868164,0.980446695429027,0.9803979326415948,0.9804203166101397,0.9803036807176048,0.9800029991991747,0.9803246318025333,0.9801781632148745,0.9805390408069552,0.9798159015198445,0.9800235240466046,0.9803116691593021,0.9803318332372905,0.9799171838580976,0.9801573936901522,0.9802454487290864,0.9802800806151108,0.9802777439039545,0.980344893443518,0.9805504436305592,0.980364638694977,0.9805287491113593,0.9800732179895889,0.9805199731108856,0.9801953378624128,0.9801162242974045,0.9805414179731158,0.9798492506014823,0.9802496974689432,0.980899945379596,
206432038916,0.9805938538008409,0.9807722887025588,0.9807176561503199,0.9808908998397781,0.9805225554912637,0.981041546692583,0.9808228774760774,0.9807244841485978,0.9809237100291921,0.9817293033121509,0.9804933659817491,0.9803276747694706,0.980630258895403,0.9805511480372409,0.980820493393251,0.9807975403468293,0.9807248228434251,0.9807261340227571,0.9806778119204989,0.9807906339004304,0.9806197457324923,0.980446102210896,0.9805220587058088,0.9802953255911501,0.9809177919969649,0.9806939263043367,0.9802472287250441,0.9805234516815321,0.9808245972157607,0.9805460458777681,0.9807961783620156,0.9805756743684234,0.9808167669832177,0.9811416735405797,0.9808216368452667,0.9803734374714115,0.9805756589124944,0.9807195255720523,0.9809736171434984,0.9805272888181923,0.9804709440492811,0.9804490585007949,0.9807675599019691,0.9809904607013151,0.9804733568621665,0.9808192649767132,0.9806481437959695,0.9805499358542646,0.9805468560424528,0.9807236577319225,0.980846855644865,0.980395004539481,0.9806020468537073,0.9803793751925713,0.9798262961873571,0.9808197795878361,0.9809751574479549,0.9804724452717077,0.98062050923124,0.9807930941047343,0.9804756373636029,0.9807928523682511,0.9807713216547881,0.9807244871785866,0.9807723941783911,0.9809176431946826,0.9808693678954913,0.9802956699369381,0.9806211660008313,0.9801486033344391,0.9810998771036542,0.9809668367388176,0.9809180012335945,0.9809395820792576,0.9806996380641227,0.9805217178661205,0.9807200487533213,0.9805719700389701,0.9807987153616486,0.9803449896963096,0.9805430356039067,0.9806996318618043,0.9807238941168676,0.9804448594463323,0.9805474413489629,0.9807673542944455,0.9806718645781587,0.9807932711944607,0.9808664907096263,0.98082128454572,0.9808914773793922,0.9809203565219973,0.9805950091732657,0.9809173316441131,0.9807177260766531,0.9806430325105085,0.9806781666179188,0.9803712338067059,0.9807687480321814,0.9809029801086124,
