Index, Name, Size
0, SSID_134927, 7013
1, SSID_133529, 801
2, SSID_019752, 518
3, SSID_122492, 508
4, SSID_065390, 483
5, SSID_052721, 392
6, SSID_047591, 391
7, SSID_030796, 366
8, SSID_129368, 354
9, SSID_017742, 312
10, SSID_084782, 310
11, SSID_134459, 303
12, SSID_118157, 261
13, SSID_024446, 252
14, SSID_139578, 225
15, SSID_106556, 215
16, SSID_023773, 208
17, SSID_122158, 166
18, SSID_134456, 143
19, SSID_000297, 140
20, SSID_067893, 134
21, SSID_136369, 127
22, SSID_054792, 124
23, SSID_086763, 124
24, SSID_079773, 121
25, SSID_031508, 104
26, SSID_001592, 100
27, SSID_078912, 91
28, SSID_124566, 84
29, SSID_032643, 81
30, SSID_106555, 80
31, SSID_059168, 77
32, SSID_139255, 76
33, SSID_019252, 76
34, SSID_032704, 69
35, SSID_109054, 67
36, SSID_051949, 63
37, SSID_118169, 61
38, SSID_077949, 61
39, SSID_078910, 59
40, SSID_128679, 57
41, SSID_116651, 57
42, SSID_097469, 52
43, SSID_059176, 51
44, SSID_139395, 50
45, SSID_129335, 49
46, SSID_052228, 46
47, SSID_064899, 46
48, SSID_032283, 45
49, SSID_048244, 45
50, SSID_026353, 38
51, SSID_023190, 37
52, SSID_067892, 35
53, SSID_019250, 33
54, SSID_002761, 33
55, SSID_030762, 31
56, SSID_120427, 31
57, SSID_075569, 31
58, SSID_027959, 30
59, SSID_046337, 29
60, SSID_130388, 29
61, SSID_106554, 29
62, SSID_119247, 28
63, SSID_042837, 28
64, SSID_063746, 27
65, SSID_098947, 26
66, SSID_019936, 26
67, SSID_032480, 26
68, SSID_004664, 25
69, SSID_076426, 25
70, SSID_056495, 24
71, SSID_107840, 24
72, SSID_082453, 23
73, SSID_059528, 23
74, SSID_034517, 23
75, SSID_106664, 22
76, SSID_138896, 22
77, SSID_018925, 22
78, SSID_086810, 22
79, SSID_004700, 22
80, SSID_097457, 21
81, SSID_083017, 21
82, SSID_096887, 21
83, SSID_074072, 21
84, SSID_126591, 21
85, SSID_131357, 21
86, SSID_139455, 20
87, SSID_119401, 20
88, SSID_125704, 20
89, SSID_095036, 20
90, SSID_001706, 19
91, SSID_030760, 19
92, SSID_103883, 19
93, SSID_097458, 19
94, SSID_023994, 19
95, SSID_031339, 19
96, SSID_106526, 19
97, SSID_031766, 19
98, SSID_137057, 19
99, SSID_034138, 18
100, SSID_043921, 18
101, SSID_078909, 18
102, SSID_021870, 18
103, SSID_025469, 18
104, SSID_074014, 17
105, SSID_064487, 17
106, SSID_078228, 17
107, SSID_126597, 17
108, SSID_122108, 17
109, SSID_138420, 17
110, SSID_077711, 16
111, SSID_122426, 16
112, SSID_065654, 16
113, SSID_103188, 16
114, SSID_123157, 16
115, SSID_132920, 16
116, SSID_133408, 16
117, SSID_058531, 16
118, SSID_000715, 15
119, SSID_137335, 15
120, SSID_031746, 15
121, SSID_056306, 15
122, SSID_034212, 14
123, SSID_032644, 14
124, SSID_102968, 14
125, SSID_097464, 14
126, SSID_050933, 14
127, SSID_030096, 13
128, SSID_031392, 13
129, SSID_043968, 13
130, SSID_043595, 13
131, SSID_046056, 13
132, SSID_078913, 13
133, SSID_127233, 13
134, SSID_004479, 12
135, SSID_136375, 12
136, SSID_097701, 12
137, SSID_046265, 12
138, SSID_063653, 12
139, SSID_093633, 11
140, SSID_089774, 11
141, SSID_052014, 11
142, SSID_042896, 11
143, SSID_137602, 11
144, SSID_021880, 11
145, SSID_121194, 11
146, SSID_119836, 11
147, SSID_074231, 11
148, SSID_004622, 11
149, SSID_021300, 11
150, SSID_068032, 11
151, SSID_040874, 11
152, SSID_133240, 11
153, SSID_056513, 11
154, SSID_106683, 10
155, SSID_048295, 10
156, SSID_126012, 10
157, SSID_074235, 10
158, SSID_109062, 10
159, SSID_106129, 10
160, SSID_057683, 10
161, SSID_139236, 10
162, SSID_070609, 10
163, SSID_136308, 10
164, SSID_107343, 10
165, SSID_096892, 9
166, SSID_082363, 9
167, SSID_032638, 9
168, SSID_031307, 9
169, SSID_065401, 9
170, SSID_035234, 9
171, SSID_097467, 9
172, SSID_094885, 9
173, SSID_026393, 9
174, SSID_106366, 9
175, SSID_097478, 9
176, SSID_050434, 9
177, SSID_083239, 9
178, SSID_065672, 9
179, SSID_026394, 9
180, SSID_070533, 8
181, SSID_108813, 8
182, SSID_054964, 8
183, SSID_049020, 8
184, SSID_139704, 8
185, SSID_118252, 8
186, SSID_000060, 8
187, SSID_066248, 8
188, SSID_097447, 8
189, SSID_107847, 8
190, SSID_032538, 8
191, SSID_137631, 8
192, SSID_033506, 8
193, SSID_019859, 8
194, SSID_065396, 8
195, SSID_135996, 8
196, SSID_048459, 8
197, SSID_031589, 8
198, SSID_117763, 8
199, SSID_052661, 8
200, SSID_026507, 8
201, SSID_106969, 8
202, SSID_064591, 8
203, SSID_019935, 8
204, SSID_000280, 8
205, SSID_133254, 8
206, SSID_103881, 8
207, SSID_107930, 8
208, SSID_107012, 7
209, SSID_109209, 7
210, SSID_139291, 7
211, SSID_062088, 7
212, SSID_031524, 7
213, SSID_032705, 7
214, SSID_030765, 7
215, SSID_063140, 7
216, SSID_091388, 7
217, SSID_078972, 7
218, SSID_046057, 7
219, SSID_040934, 7
220, SSID_117382, 7
221, SSID_034129, 7
222, SSID_043402, 7
223, SSID_127173, 7
224, SSID_077960, 7
225, SSID_123556, 7
226, SSID_047657, 7
227, SSID_002574, 7
228, SSID_005213, 7
229, SSID_017278, 7
230, SSID_045574, 7
231, SSID_090104, 7
232, SSID_126922, 7
233, SSID_139767, 7
234, SSID_109036, 7
235, SSID_019478, 7
236, SSID_117293, 7
237, SSID_063771, 7
238, SSID_120809, 7
239, SSID_043536, 7
240, SSID_132264, 7
241, SSID_132288, 7
242, SSID_030766, 7
243, SSID_048280, 7
244, SSID_002531, 7
245, SSID_097454, 7
246, SSID_074233, 6
247, SSID_090022, 6
248, SSID_020177, 6
249, SSID_138910, 6
250, SSID_134077, 6
251, SSID_030117, 6
252, SSID_131584, 6
253, SSID_099010, 6
254, SSID_130682, 6
255, SSID_065650, 6
256, SSID_096168, 6
257, SSID_022491, 6
258, SSID_024571, 6
259, SSID_107399, 6
260, SSID_048260, 6
261, SSID_070866, 6
262, SSID_024850, 6
263, SSID_067658, 6
264, SSID_089719, 6
265, SSID_132252, 6
