  ,alice1,bob1,charlie1,diana1,ethan1,fred1,greta1,harriet1,indigo1,james1,kyle1,lily1,michael1,nancy1,alice2,bob2,charlie2,diana2,ethan2,fred2,greta2,harriet2,indigo2,james2,kyle2,lily2,michael2,nancy2
alice1,1.0,0.6829268292682927,0.68,0.7727272727272727,0.5925925925925926,0.7894736842105263,0.41379310344827586,0.5789473684210527,0.5,0.5098039215686274,0.6153846153846154,0.5833333333333334,0.5454545454545454,0.6666666666666666,0.926829268292683,0.5714285714285714,0.5862068965517241,0.7058823529411765,0.463768115942029,0.7391304347826086,0.5,0.65,0.5614035087719298,0.48148148148148145,0.6071428571428571,0.5517241379310345,0.5074626865671642,0.6938775510204082
bob1,0.6829268292682927,1.0,0.7169811320754716,0.723404255319149,0.6666666666666666,0.7317073170731707,0.5,0.7804878048780488,0.6909090909090909,0.6666666666666666,0.7636363636363637,0.6274509803921569,0.6896551724137931,0.5416666666666666,0.7272727272727273,0.8461538461538461,0.6229508196721312,0.4864864864864865,0.5555555555555556,0.7755102040816326,0.5714285714285714,0.7906976744186046,0.6666666666666666,0.631578947368421,0.711864406779661,0.6229508196721312,0.5714285714285714,0.5769230769230769
charlie1,0.68,0.7169811320754716,1.0,0.7142857142857143,0.6666666666666666,0.76,0.43902439024390244,0.64,0.71875,0.7936507936507936,0.78125,0.5,0.8656716417910447,0.6666666666666666,0.7169811320754716,0.7213114754098361,0.8857142857142857,0.5217391304347826,0.5679012345679012,0.7931034482758621,0.5,0.6923076923076923,0.782608695652174,0.7575757575757576,0.7647058823529411,0.5714285714285714,0.7848101265822784,0.6885245901639344
diana1,0.7727272727272727,0.723404255319149,0.7142857142857143,1.0,0.6333333333333333,0.8181818181818182,0.4,0.5,0.5517241379310345,0.5614035087719298,0.6206896551724138,0.5185185185185185,0.6885245901639344,0.8235294117647058,0.7659574468085106,0.6181818181818182,0.6875,0.75,0.5066666666666667,0.7307692307692307,0.47368421052631576,0.5652173913043478,0.5714285714285714,0.5333333333333333,0.6451612903225806,0.5625,0.6301369863013698,0.8363636363636363
ethan1,0.5925925925925926,0.6666666666666666,0.6666666666666666,0.6333333333333333,1.0,0.6666666666666666,0.35555555555555557,0.5555555555555556,0.5,0.6567164179104478,0.7352941176470589,0.59375,0.676056338028169,0.5245901639344263,0.6666666666666666,0.7692307692307693,0.7027027027027027,0.44,0.8235294117647058,0.8387096774193549,0.4166666666666667,0.6071428571428571,0.6027397260273972,0.6857142857142857,0.8055555555555556,0.6756756756756757,0.7469879518072289,0.5846153846153846
fred1,0.7894736842105263,0.7317073170731707,0.76,0.8181818181818182,0.6666666666666666,1.0,0.4827586206896552,0.5789473684210527,0.6153846153846154,0.6666666666666666,0.6923076923076923,0.5416666666666666,0.6181818181818182,0.7111111111111111,0.7804878048780488,0.6122448979591837,0.6551724137931034,0.5882352941176471,0.5217391304347826,0.8260869565217391,0.5625,0.65,0.631578947368421,0.6296296296296297,0.6785714285714286,0.6206896551724138,0.5671641791044776,0.7346938775510204
greta1,0.41379310344827586,0.5,0.43902439024390244,0.4,0.35555555555555557,0.4827586206896552,1.0,0.6896551724137931,0.37209302325581395,0.38095238095238093,0.46511627906976744,0.41025641025641024,0.391304347826087,0.5,0.5,0.4,0.3673469387755102,0.48,0.26666666666666666,0.43243243243243246,0.8695652173913043,0.6451612903225806,0.3333333333333333,0.35555555555555557,0.425531914893617,0.32653061224489793,0.3103448275862069,0.45
harriet1,0.5789473684210527,0.7804878048780488,0.64,0.5,0.5555555555555556,0.5789473684210527,0.6896551724137931,1.0,0.5769230769230769,0.5490196078431373,0.7307692307692307,0.625,0.6181818181818182,0.5777777777777777,0.6341463414634146,0.6938775510204082,0.5517241379310345,0.47058823529411764,0.463768115942029,0.6086956521739131,0.6875,0.95,0.5263157894736842,0.5185185185185185,0.6785714285714286,0.5172413793103449,0.5373134328358209,0.5306122448979592
indigo1,0.5,0.6909090909090909,0.71875,0.5517241379310345,0.5,0.6153846153846154,0.37209302325581395,0.5769230769230769,1.0,0.8,0.6060606060606061,0.45161290322580644,0.6666666666666666,0.4745762711864407,0.5454545454545454,0.6349206349206349,0.7222222222222222,0.375,0.43373493975903615,0.6,0.43478260869565216,0.5925925925925926,0.9295774647887324,0.7941176470588235,0.5714285714285714,0.4722222222222222,0.6172839506172839,0.47619047619047616
james1,0.5098039215686274,0.6666666666666666,0.7936507936507936,0.5614035087719298,0.6567164179104478,0.6666666666666666,0.38095238095238093,0.5490196078431373,0.8,1.0,0.676923076923077,0.4262295081967213,0.7352941176470589,0.4827586206896552,0.5555555555555556,0.7419354838709677,0.8450704225352113,0.3404255319148936,0.5609756097560976,0.6779661016949152,0.4444444444444444,0.6037735849056604,0.8571428571428571,0.9552238805970149,0.6666666666666666,0.5070422535211268,0.725,0.5161290322580645
